input_name,match_status,confidence,AccountId,AccountName,AccountStatus,AccountPostcode,Industry,SubIndustry,MostRecentTransaction,Activity,LastAccountTransactionDate,LastLogIn,candidate_count
Barfield Prep School,matched,100,9817,Barfield Prep School,Activated,nan,Education,Independent School - Prep,2025-12-10,active_12m,2024-12-05 14:18:35.000000,2025-12-12 12:24:01,1
Birkenhead school,matched,100,17639,Birkenhead School,Activated,nan,Education,Independent - Grammar,2026-04-02,active_12m,2026-04-02 15:02:42.289071,2026-04-02 12:54:49,1
Brighton Girls GDST,matched,100,4646,GDST Brighton Girls,Activated,nan,Education,Independent School - Senior,,no_bookings,nan,2021-10-19 08:24:23,1
Cheadle Hulme School,matched,100,168,Cheadle Hulme School,Activated,sk86ef,Education,Independent School - Senior,2022-06-10,dormant,2022-06-10 12:34:14.000000,2022-06-10 12:30:16,1
Clayesmore,matched,100,2354,Clayesmore School,Activated,dt11 8ll,Education,Independent School - Senior,,no_bookings,nan,2020-02-26 13:54:22,1
Clifton College,matched,100,13433,Clifton College,Activated,bs8 3jh,Education,Independent School - Senior,2026-04-06,active_12m,2025-05-20 14:52:35.000000,2026-04-07 07:27:08,1
Cokethorpe School,matched,100,2650,Cokethorpe School,Activated,nan,Education,Independent School - Senior,2026-04-05,active_12m,2026-04-07 17:54:08.868954,2026-04-02 09:48:22,1
Dollar Academy,matched,100,85,Dollar Academy,Activated,fk14 7du,Education,Independent School - Senior,2026-03-06,active_12m,2026-03-17 16:35:44.809727,2026-03-31 14:56:51,1
Downside School,matched,100,7353,Downside School,Activated,ba3 4rj,Education,Independent School - Senior,2026-03-30,active_12m,2026-03-30 21:29:53.668996,2026-03-27 12:48:27,1
Kent College,matched,100,7672,Kent College,Activated,ct2 9dt,Education,nan,2026-04-03,active_12m,2026-03-30 16:58:40.845848,2026-04-02 14:59:09,1
King Alfred School,matched,100,1049,King Alfred School,Activated,nan,Education,Independent School - Senior,,no_bookings,nan,2018-11-08 16:45:20,1
Lingfield College,matched,100,8521,Lingfield College,Activated,nan,Education,Independent School - Senior,,no_bookings,nan,2023-06-20 11:33:18,1
Moulsford,matched,100,19374,Moulsford School,Activated,nan,Education,Independent School - Prep,2026-04-06,active_12m,nan,2026-03-26 17:09:05,1
Mount Kelly,matched,100,5500,Mount Kelly,Activated,pl19 0hz,Education,Independent School - Senior,2026-04-05,active_12m,2026-04-07 11:10:29.120139,2026-03-30 11:14:28,1
Pocklington School,matched,100,849,Pocklington School,Activated,nan,Education,Independent School - Senior,2026-03-17,active_12m,2026-03-17 09:03:29.000000,2026-04-01 10:46:07,1
Portsmouth High School,matched,100,2446,Portsmouth High School,Activated,po5 3eq,Education,Independent School - Senior,2025-05-21,active_12m,2025-01-07 18:38:54.169150,2025-05-23 17:35:37,1
Putney High School,matched,100,6693,Putney High School,Activated,nan,Education,Independent School - Senior,2026-04-06,active_12m,2026-04-06 18:43:03.308857,2026-04-01 15:34:30,1
Read School DRAX,matched,100,18876,The Read School  Drax,Activated,yo8 8nl,Education,Independent School - Senior,2026-02-10,active_12m,2026-02-10 10:06:09.000000,2026-03-26 17:59:40,1
RGS Surrey Hills,matched,100,18418,RGS Surrey Hills,Activated,rh56ea,Education,Independent School - Senior,2026-01-30,active_12m,2026-01-30 10:16:36.811952,2026-02-23 10:46:52,1
Royal High Bath,matched,100,9636,Royal High School Bath,Activated,nan,Education,Independent School - Senior,2026-04-02,active_12m,2026-04-02 17:31:07.446853,2026-04-07 08:23:38,1
Rugby School Enterprises,matched,100,14070,Rugby School,Activated,cv22 5eh,Education,Independent School - Senior,2026-03-17,active_12m,2026-03-18 14:48:31.203515,2026-03-30 09:54:20,1
Sidcot,matched,100,2776,Sidcot School,Activated,nan,Education,Independent School - Senior,2020-10-05,dormant,nan,2020-09-11 07:26:19,1
St Josephs College,matched,100,11790,St Josephs College,Unactivated,nan,nan,nan,,no_bookings,nan,nan,1
St Lawrence College,matched,100,8777,St Lawrence College,Activated,nan,Education,Independent School - Senior,2026-02-06,active_12m,2026-02-12 08:16:22.246380,2026-02-23 11:35:33,1
St Paul's School,matched,100,488,St Paul's School,Activated,sw13 9jt,Education,Independent School - Senior,2026-04-04,active_12m,2026-04-04 11:39:18.573554,2026-04-07 10:03:01,1
Sutton High School,matched,100,7080,Sutton High School GDST,Activated,nan,Education,Independent School - Senior,2026-03-31,active_12m,2026-03-31 13:20:49.385392,2026-03-31 14:26:56,1
Truro School,matched,100,19401,Truro School Enterprises,In Review,nan,Education,Independent School - Prep,,no_bookings,nan,2026-02-12 07:40:59,1
Wells Cathedral School,matched,100,3335,Wells Cathedral School,Activated,ba5 2st,Education,Independent School - Senior,,no_bookings,nan,2021-11-09 08:37:31,1
Wrekin Old Hall,matched,100,7828,Wrekin Old Hall Trust,Activated,nan,Education,Independent School - Senior,2023-03-22,dormant,nan,2023-03-22 08:37:45,1
Hereford Cathederal School,matched,97.3,7494,Hereford Cathedral School,Activated,nan,Education,Independent School - Senior,2026-04-06,active_12m,2026-04-07 19:51:06.028574,2026-04-07 20:21:15,1
