account_id,account_name,industry,sub_industry,fees_inc_vat,revenue,tickets,transactions,last_boxoffice_txn
19815.0,Gwrych Castle,Tourism,Historic,2097.54,33380.4,4499,1431,2026-05-25
10237.0,Salsa 4 Fun,Dance,,1631.64,26728.1,1950,1703,2026-05-25
10443.0,Mambo4Fun Ltd,Dance,,1237.96,19601.65,1702,1610,2026-05-25
8853.0,Kendal Rugby Trading Ltd,Sporting Club,Rugby,255.45,3051.0,678,377,2025-11-07
17077.0,Ryarsh PTFA,Education,PTA,159.55,2463.0,270,85,2025-11-08
9584.0,Paul Lavelle Foundation,Charity,,139.3,1937.0,285,169,2025-06-29
2803.0,Squire Performing Arts Centre,Theatres,Venue,134.03,2285.98,170,114,2026-05-15
2290.0,Fresh Perspective Resourcing,Business,Networking,113.4,1725.0,181,60,2025-06-20
15580.0,Italiafest,Sporting Club,Motorsports,98.43,1548.5,160,89,2025-08-31
608.0,Trent College Parents’ Association,Education,PTA,94.25,1925.0,95,47,2026-05-22
13729.0,Manchester High School for Girls,Education,Independent School - Senior,88.76,1226.0,216,141,2026-03-30
12303.0,Love Black Country,Community,Church,87.5,1210.0,183,80,2026-05-09
19418.0,FH PSPA,Education,PTA,82.5,1500.0,50,41,2026-02-12
20342.0,Icloud Movies,Community,,75.0,26000.0,500,3,2026-04-28
2778.0,Westbourne Orchestral Society,Music,Choir,73.9,1830.0,202,118,2026-03-21
3916.0,Chelsea Academy Foundation,Education,PTA,70.45,1090.0,147,24,2025-09-11
15559.0,Checkout 2025,Charity,,69.49,1290.0,46,37,2025-12-13
16556.0,ORB,Dance,,68.4,1324.0,111,101,2026-05-22
15038.0,St Andrew's Preservation Trust,Business,Historic,67.7,1012.0,124,75,2026-03-17
12740.0,Ermysteds Friends Association,Education,PTA,64.7,773.0,186,141,2026-03-19
17569.0,Sheppey RFC,Sporting Club,Rugby,60.75,744.0,157,84,2025-11-08
18787.0,Westward Ho! Follies,Theatres,AMDRAM,53.33,1667.0,222,98,2026-02-22
16426.0,Puts for Guts,Event Organiser,,53.3,910.0,52,52,2025-09-02
4349.0,Richmond Shakespeare Society,Theatres,AMDRAM,53.0,1100.0,70,65,2026-05-04
3344.0,Golden Goose Theatre LTD,Theatres,,49.2,846.0,67,55,2026-05-22
16479.0,Spinal Research,Associations,Health & Wellbeing,47.83,719.8,78,48,2025-12-16
15982.0,Penrith Playhouse,Business,Venue,43.59,814.0,83,53,2026-05-02
14169.0,Northampton Bach Choir,Music,Choir,42.8,961.0,54,42,2026-03-28
15963.0,City of Glasgow Chorus Trust,Community,Choir,42.63,1449.0,162,119,2026-05-23
12233.0,Greystoke Castle,Tourism,Visitor Attraction,38.25,440.0,51,27,2025-10-31
16634.0,Kinghorn Community Centre,Community,Venue,37.7,3133.0,187,72,2026-05-05
6712.0,Hampstead Chorus,Music,,36.35,716.0,37,30,2026-03-21
11270.0,We Are Grow,Business,,36.27,461.4,91,45,2025-07-12
4792.0,CCHSG PTFA,Education,PTA,35.85,536.0,77,41,2025-11-07
17880.0,KP Jazz,,,30.75,420.0,64,42,2026-05-23
3657.0,Fubhub,Business,Networking,30.4,455.0,51,41,2026-05-13
20053.0,Just4FunBoucyCastles,,,28.65,130.0,191,8,2026-04-02
17274.0,Friends of St Mary&#39;s IOM,Education,PTA,28.07,299.0,87,34,2025-11-30
11382.0,Bethany School,Education,Independent School - Senior,27.92,263.0,97,81,2026-02-07
10456.0,Wigan Borough Business Awards,Business,Government,27.7,470.0,28,28,2025-09-27
10012.0,Polbeth Community Hub,Charity,,26.42,258.5,91,37,2026-05-13
9877.0,Kingston Music Service,Council / Gov,Music,25.31,231.0,88,53,2026-05-09
1440.0,Music Emporium,Music,Choir,25.1,412.0,30,22,2026-02-12
14560.0,Caversham Festival of Song,Festival,Music,23.85,309.0,56,37,2025-06-21
15504.0,mk852cic,Community,CIC,23.75,210.0,112,56,2025-06-29
15068.0,BrightonSoup,Non Profit,CIC,22.75,293.0,47,50,2026-03-27
13845.0,Ampthill Cultural Events,Community,Cultural,22.5,347.5,34,17,2025-09-29
7672.0,Kent College,Education,,19.75,296.0,33,18,2025-10-10
15967.0,Salford Symphony Orchestra,Music,Choir,19.65,690.0,46,32,2025-10-26
19636.0,Elsewhere Bar,Business,Food/Drink,19.4,525.0,41,22,2026-05-20
16007.0,Sherborne Town Council,Council / Gov,Local Government,18.0,600.0,24,13,2025-09-05
15611.0,Woodroffe School,Education,State School - Secondary,17.9,151.0,71,67,2025-07-03
1258.0,Tranby,Education,Independent School - Senior,17.55,249.0,33,29,2025-12-11
15232.0,Ekopia,Business,Networking,17.45,201.5,49,34,2025-09-06
19227.0,Aura Entertainment,Community,Cultural,17.23,272.0,24,13,2026-03-14
19537.0,Raise Your Voice,Community,,17.1,285.0,19,16,2026-03-22
16827.0,The Purple Turtle,,,17.06,226.1,38,21,2026-03-07
7842.0,K Cruise,Business,Health & Wellbeing,16.74,227.5,35,29,2026-05-13
6434.0,The Indian Cultural Association (ICA),Community,Cultural,16.17,245.0,25,13,2025-10-05
8619.0,Carlisle Cathedral Enterprises Ltd,Music,Music,15.9,315.0,19,13,2026-05-17
8239.0,Oxford Harmony,,,15.75,252.0,25,16,2025-11-22
7499.0,Chipperfield Choral Society,Music,Choir,14.7,252.0,14,6,2025-06-21
18489.0,CUSCSC (Travel),Sporting Club,Football,14.25,972.5,21,16,2025-12-30
8530.0,Carlisle Cathedral,Community,Church,13.7,301.0,29,21,2026-05-21
16347.0,Dunsfold Amateur Dramatic Society,Theatres,AMDRAM,13.5,710.0,32,30,2025-11-22
8324.0,Haberdashers' Adams,Education,Independent School - Senior,13.25,220.0,32,16,2026-03-19
524.0,Stroud Film Festival,Festival,Film & TV,12.75,173.0,29,22,2026-04-12
12287.0,Bootham School Box Office,Education,Independent School - Senior,12.75,92.0,17,8,2026-04-25
16551.0,Ely Pride (Pride in Ely CIO),Community,CIC,12.0,120.0,40,40,2025-08-09
4695.0,The Cutting Edge Big Band,Music,,11.2,196.0,14,11,2026-02-20
15602.0,ryelands @ Ivy Cottage,Agriculture,Farming,10.65,1080.0,69,28,2026-05-22
8589.0,Kendal Pride,Festival,LGBTQ+ Events,10.49,125.0,29,9,2025-06-15
16784.0,Nylah Gigi&#39;s Memorial Tournament,Event Organiser,Fundraiser,10.35,102.0,34,21,2026-05-02
12223.0,Sheringham & Cromer Choral Society,Music,Choir,10.35,180.0,9,3,2026-05-18
19312.0,IMC GLOBAL LTD,,,10.35,180.0,9,6,2026-04-29
15719.0,Bristol Harbourside Churches,Community,Church,9.45,840.0,56,17,2026-01-26
15360.0,Hexham and District Music Society,Music,,9.35,180.0,9,8,2026-03-17
19475.0,Southend Choirs,Music,Choir,9.23,127.5,19,8,2026-03-22
15248.0,Fubhub Leigh,Business,Networking,9.1,140.0,14,14,2026-03-25
16757.0,Infinite Business Consulting,Business,Networking,8.92,135.5,14,14,2026-02-04
15556.0,Chords of Chaos,Music,,8.7,115.0,23,14,2026-02-21
20179.0,Gwrych Castle Shop & Café,Tourism,Historic,8.45,103.95,26,15,2026-05-25
18519.0,Michael Hall School,Education,Independent School - Prep,7.75,210.0,29,23,2026-02-28
11924.0,Cardinal Wiseman Catholic School,Education,State School - Secondary,7.71,99.5,18,10,2025-12-16
14568.0,St Roberts Catholic Club,Community,Club/Group,7.65,165.0,11,8,2026-04-28
19898.0,1st Barnt Green Scouts,Community,Scout Groups,7.53,0.5,50,1,2026-03-19
19243.0,Friends of Blackbrook PTA,Education,PTA,7.42,66.3,28,16,2026-03-19
15377.0,Me-Time Pop Choir,Music,Choir,7.3,182.0,14,10,2025-07-17
14801.0,Andre M Sialefuka,Music,,7.0,125.0,5,5,2025-06-28
15549.0,St James PTA,Education,PTA,6.91,62.5,25,9,2025-12-12
11939.0,Pure In Heart Swansea,Community,Church,6.87,114.8,16,15,2025-11-23
14330.0,Irlam and Cadishead Community Festivals CIC,Festival,,6.5,100.0,10,7,2025-08-08
125.0,FORMS events,Education,PTA,6.4,92.0,12,5,2025-11-07
19146.0,Pangbourne Music,Education,Independent School - Senior,6.3,105.0,7,4,2026-05-11
16385.0,Taunton Military Wives Choir,Music,Choir,6.2,97.0,9,6,2026-05-08
6861.0,Excelsior Academy,Education,State School - Secondary,6.15,45.0,9,8,2025-12-11
16384.0,Tregony Clockhouse Players,Theatres,Venue,6.03,211.0,29,18,2026-02-21
7282.0,Caerau Ely Afc,Sporting Club,Football,6.0,100.0,10,10,2025-08-22
16086.0,The Orange Picture Club,Community,Cinema,5.9,67.0,17,10,2026-04-02
12836.0,MK Piano Celebration,Music,,5.9,100.0,7,5,2025-12-06
12899.0,Silverton C of E Primary School,Education,PTA,5.85,85.0,14,4,2025-06-22
277.0,Ibstock Place School,Education,Independent School - Senior,5.71,93.25,7,4,2025-12-04
19590.0,Altrincham College Dance,Education,State School - Secondary,5.65,44.0,23,23,2026-05-06
1293.0,Moreton Hall,Education,Independent School - Senior,5.62,85.15,9,4,2026-02-11
19767.0,Shall We Dance Usk,Dance,,5.6,100.0,4,4,2026-04-24
18700.0,Southside Chamber Music,Music,,5.55,90.0,7,4,2026-05-14
16175.0,Women Who Cumbria CIC,Associations,CIC,5.4,90.0,6,3,2025-11-28
17574.0,Around the world in 60 minutes🌏,,,5.34,50.0,20,19,2025-11-11
17158.0,Barefoot Music,Music,,5.25,78.0,9,6,2026-01-23
15322.0,Ashman,Music,,5.1,57.0,15,15,2025-06-27
17220.0,Gigs At The Common,Music,,5.1,78.0,8,7,2025-10-17
15058.0,Haslingfield Little Owls Preschool,Education,Nursery,4.95,96.0,21,6,2025-07-05
14841.0,124th Derby (Mickleover) Scout Group,Community,Scout Groups,4.86,64.0,11,6,2025-07-21
16670.0,Arlington Museum,Business,Museum,4.7,80.0,8,5,2026-05-12
1315.0,Penny & Pete Psychic Events,Business,,4.65,387.5,29,16,2025-11-25
5782.0,WHSSC,Business,Venue,4.6,80.0,4,1,2026-04-25
17161.0,@beccasaud Rebecca Rampersaud Events,Business,,4.55,70.0,7,7,2026-05-24
13171.0,Victory Facade,Education,PTA,4.5,0.0,0,2,2025-06-20
16300.0,KWMCC,Business,,4.5,45.5,6,3,2026-05-09
1982.0,Let Me Sing,Music,Choir,4.35,135.0,9,5,2026-05-18
17372.0,Terror Management,,,4.2,66.0,6,2,2026-03-28
17754.0,Unified Sports Centre Limited,Sporting Club,Gymnastics,4.05,32.0,8,37,2026-02-10
8525.0,BASINGSTOKE GANESH UTSAV 2025,Community,Church,4.0,50.0,12,5,2025-08-31
