AccountId,AccountName,EventName,EventDate,TicketsSold,Transactions,TicketRevenue
20409.0,Albanwise,Albanwise Farming Ltd - Open Farm Sunday,2026-06-07,769.0,193,0.0
11455.0,Arun2AdurFarmersGroup,Open Farm Sunday - Arun to Adur Farmers Group,2026-06-28,220.0,53,0.0
15458.0,Babbinswood Organic Farm Ltd,Winter Wellness Herbal Remedies Workshop with Louise Idoux,2026-01-24,10.0,7,250.0
15458.0,Babbinswood Organic Farm Ltd,Introduction to Hedgelaying with Josh Arrowsmith,2026-02-15,6.0,4,240.0
20343.0,Blagdon Farm,Blagdon Farm Open Farm Sunday,2026-06-07,600.0,156,0.0
11519.0,Blakeley farm open farm,Blakeley farm open day 2026,2026-06-07,177.0,49,0.0
7864.0,Bowlhead,Open Farm Sunday,2026-06-07,799.0,212,0.0
19493.0,Carrick Enterprises Ltd,Open Farm Sunday 2026 - Carrick's at Castle Farm,2026-06-07,119.0,29,0.0
20385.0,CastleHillFarm,Open Farm Sunday,2026-06-07,20.0,8,0.0
5593.0,Chorley Young Farmers,Pre Harvest Hoe Down 2026,2026-06-27,62.0,51,999.0
20570.0,Chypraze Farm,Chypraze Farm Open day,2026-07-12,17.0,4,0.0
3533.0,Cornhill Farm,Cornhill Farm Open Farm Sunday 28th June 2026,2026-06-28,1436.0,333,0.0
20687.0,Court Lodge Farm,Open Farm Sunday,2026-06-07,116.0,38,0.0
20617.0,Crambe Grange Farm,"Open Farm Sunday visit to Crambe Grange Farm, near York",2026-06-07,28.0,8,0.0
3608.0,Croots Farm Shop,Barista Masterclass,2026-04-30,25.0,14,462.5
3608.0,Croots Farm Shop,TEST - food fayre,2026-05-06,1.0,1,0.0
3608.0,Croots Farm Shop,Animal Encounters,2026-05-16,100.0,69,850.0
3608.0,Croots Farm Shop,Croots Dog Show,2026-06-07,45.0,16,90.0
3608.0,Croots Farm Shop,Food Fair Pitch,2026-07-19,1.0,1,0.0
14845.0,D & C Lowe & Sons Ltd,Open Farm Sunday,2026-06-07,6.0,2,0.0
3610.0,Deepdale Farms,Introduction to Green Woodworking - Spindle Course,2026-03-29,6.0,4,660.0
3610.0,Deepdale Farms,Willow Weaving Workshop - Woven swifts and leaves,2026-05-02,15.0,9,750.0
3610.0,Deepdale Farms,Bird Ringing demonstration,2026-05-31,8.0,3,0.0
3610.0,Deepdale Farms,"Open Farm Sunday 2026 at Deepdale Farm, Norfolk",2026-05-31,165.0,57,80.0
3610.0,Deepdale Farms,Introduction to Green Woodworking - Bowl turning,2026-06-06,22.0,16,1430.0
3610.0,Deepdale Farms,Bat Walk with Norfolk & Norwich Bat Group,2026-07-18,5.0,2,35.0
3610.0,Deepdale Farms,Biofluorescent Night Walk,2026-09-05,48.0,26,1125.0
3610.0,Deepdale Farms,Willow Weaving Workshop - Willow Leaf Baskets,2026-09-26,8.0,5,305.0
20595.0,Dennington Hall Farms,Open Farm Sunday 7/06/26 Dennington Hall Farms,2026-06-07,603.0,176,0.0
15577.0,Down on the Farm,Open Farm Sunday - Sunday 7th June 2026,2026-06-07,60.0,15,0.0
5163.0,Drybeck Farm Events,"Band In The Barn - Bowie, Beak & Powney",2026-05-02,52.0,21,645.0
5163.0,Drybeck Farm Events,Hope City Rockers - 23rd May,2026-05-23,37.0,19,632.5
5163.0,Drybeck Farm Events,Band in The Barn Soul Junction,2026-06-20,18.0,6,240.0
20608.0,Duchesne Farming,Open Farm Sunday - Melford Place Farm,2026-06-07,350.0,95,0.0
20321.0,E M Winter &amp; Partners,Open Farm Sunday at Darrow Green Farm,2026-06-07,202.0,62,294.0
15093.0,Edgar and Son,Easter Egg Trail,2026-04-06,151.0,42,617.5
15093.0,Edgar and Son,Open Farm Sunday,2026-06-07,6.0,2,37.5
20311.0,Elliscombe Farm,Open Farm Sunday at Elliscombe Dairy Farm,2026-06-07,4.0,1,0.0
14787.0,Fairfield Community Farm,Community Open Weekend,2026-05-24,111.0,28,243.0
14787.0,Fairfield Community Farm,Saturday Family Farm Club,2026-06-27,19.0,8,95.0
20720.0,Far Benfield Farm,Far Benfield Farm Open Farm Sunday,2026-06-07,66.0,19,0.0
5719.0,Farmeco Community Care,Open Farm Sunday-  Farmeco Food for Health,2026-06-07,474.0,137,0.0
20426.0,Farmlink,"Open Farm Sunday at Regilbury Park Farm, Winford, Bristol",2026-06-07,300.0,74,0.0
20361.0,Fernhill Farm milk and milkshakes,Fernhill Farms Open Farm Sunday,2026-06-07,33.0,9,0.0
15026.0,Finley&#39;s Farm and Friends,Introduction Pony Ride,2026-04-23,1.0,1,10.0
14322.0,Future Farm,Open Farm Sunday Harper Adams University Future Farm,2026-06-07,1221.0,310,0.0
15684.0,Great Wollaston Farm,Open Farm Sunday Great Wollaston 2026,2026-06-07,39.0,13,0.0
3632.0,Greenhills Farming,Open Farm Sunday at Woodrow Barton,2026-06-07,143.0,46,0.0
7918.0,Hall Hunter Partnership (Farming),Open Farm Sunday - Tuesley Farm - Hall Hunter Partnership,2026-06-07,3792.0,842,0.0
3820.0,Handley Farm,OPEN FARM Sunday @Handley Farm,2026-06-07,217.0,66,651.0
8242.0,Hardenclough Farm,Easter Lambing Time Visits 2026,2026-04-12,160.0,40,0.0
8242.0,Hardenclough Farm,Open Farm Sunday - 7th June,2026-06-07,93.0,28,0.0
20539.0,Harrisons Farm,Open Farm Sunday Harrisons Farm,2026-06-07,336.0,80,0.0
7479.0,Hartpury Open Farm Sunday,Hartpury Open Farm Sunday 2026,2026-06-07,1748.0,400,0.0
7673.0,Haywood Farm Cider,WASSAIL with The Trouble Notes,2026-01-31,82.0,35,820.0
7673.0,Haywood Farm Cider,Roving Crows at Haywood Farm,2026-05-03,27.0,15,260.0
7673.0,Haywood Farm Cider,Smokey's King Shufflers at Haywood Farm,2026-05-24,38.0,14,360.0
7673.0,Haywood Farm Cider,"THE HAYWOOD DOWNHILL, music tbc",2026-06-21,60.0,18,380.0
7673.0,Haywood Farm Cider,The Trouble Notes and Just Like Clay at Haywood Farm,2026-07-12,10.0,5,90.0
7673.0,Haywood Farm Cider,Banjovial at Haywood Farm,2026-08-16,5.0,1,50.0
7673.0,Haywood Farm Cider,Black Friday - August Bank Holiday at Haywood Farm,2026-08-30,20.0,6,120.0
11645.0,Hendwr Farm,Hendwr Open Farm Sunday 2026,2026-06-07,50.0,16,0.0
20484.0,Hidden farm,Open farm,2026-06-07,15.0,3,0.0
20054.0,High House Farm,Open Farm Sunday at High House Farm,2026-06-07,60.0,21,0.0
20313.0,Home Farm Nacton Ltd,Open Farm Sunday,2026-06-07,45.0,21,0.0
15036.0,Huntapac Produce Ltd Woodside Farm,"Open Farm Sunday at Huntapac, Highgate Farm",2026-06-07,11.0,5,0.0
15061.0,IOW Rare Breeds CIC,Sunday Farming Club,2026-04-19,7.0,6,280.0
15061.0,IOW Rare Breeds CIC,Farm Open Day - Saturday 6th June 2026,2026-06-06,359.0,119,718.0
15061.0,IOW Rare Breeds CIC,Little Farmers,2026-06-08,98.0,70,857.0
15061.0,IOW Rare Breeds CIC,Meet & Bleat @ The Farm,2026-06-13,248.0,89,1459.0
15061.0,IOW Rare Breeds CIC,Goat Yoga - Parent & Child,2026-07-10,7.0,6,100.0
15061.0,IOW Rare Breeds CIC,Needle Felting @ The Farm,2026-07-16,62.0,37,0.0
15061.0,IOW Rare Breeds CIC,Tractor & Trailer Rides through our Cow fields,2026-07-31,13.0,4,195.0
15061.0,IOW Rare Breeds CIC,Pilates @ The Farm,2026-08-02,53.0,27,848.0
15061.0,IOW Rare Breeds CIC,Meet our Highland Cows,2026-08-31,67.0,30,3075.0
20565.0,Ian Pigott,Open Farm Sunday at Thrales End Farm,2026-06-07,111.0,33,0.0
11627.0,Intake Farm,Open Farm Sunday,2026-06-07,159.0,51,318.0
7725.0,J & J Clark and sons,Open Farm Sunday,2026-06-07,258.0,63,0.0
8374.0,JF JC Hewitt & Family,Open Farm Sunday FARM TOUR,2026-06-14,102.0,30,0.0
8374.0,JF JC Hewitt & Family,Open farm GENERAL ENTRY,2026-06-14,1060.0,251,0.0
11674.0,Kingsplay Farming Company Limited,Kingsplay Farming Company LTD Open Farm Sunday 2026,2026-06-07,35.0,16,0.0
20166.0,Knight Farming Ltd,Open Farm Sunday,2026-06-07,452.0,119,0.0
8791.0,L and H Farming,Daisy Meadow Dairy - LEAF Open Farm Sunday 7th June 2026,2026-06-07,190.0,56,190.0
5544.0,Laceys family farm,Laceys Open Farm Sunday 2026,2026-06-07,1756.0,509,6245.0
10736.0,Lambourne End Ltd,Adventure Academy Monday 30th March 2026,2026-03-30,3.0,2,150.0
10736.0,Lambourne End Ltd,Adventure Academy Tuesday 31st March 2026,2026-03-31,8.0,7,400.0
10736.0,Lambourne End Ltd,Activity Afternoon Tuesday 31st March 2026,2026-03-31,4.0,2,100.0
10736.0,Lambourne End Ltd,Adventure Academy Wednesday 1st April 2026,2026-04-01,13.0,9,650.0
10736.0,Lambourne End Ltd,Adventure Academy Thursday 2nd April 2026,2026-04-02,9.0,5,450.0
10736.0,Lambourne End Ltd,Farm Experience Morning Thursday 2nd April 2026,2026-04-02,2.0,2,50.0
10736.0,Lambourne End Ltd,Adventure Academy Tuesday 7th April 2026,2026-04-07,3.0,2,150.0
10736.0,Lambourne End Ltd,Farm Experience Morning Tuesday 7th April 2026,2026-04-07,3.0,2,75.0
10736.0,Lambourne End Ltd,Activity Afternoon Tuesday 7th April 2026,2026-04-07,2.0,1,50.0
10736.0,Lambourne End Ltd,Adventure Academy Wednesday 8th April 2026,2026-04-08,1.0,1,50.0
10736.0,Lambourne End Ltd,Adventure Academy Thursday 9th April 2026,2026-04-09,8.0,6,400.0
10736.0,Lambourne End Ltd,Farm Experience Morning Thursday 9th April 2026,2026-04-09,2.0,1,50.0
10736.0,Lambourne End Ltd,Adventure Academy Friday 10th April 2026,2026-04-10,5.0,5,250.0
10736.0,Lambourne End Ltd,Adventure Academy Tuesday 26th May 2026,2026-05-26,4.0,3,200.0
10736.0,Lambourne End Ltd,Farm Experience Morning Tuesday 26th May 2026,2026-05-26,2.0,2,50.0
10736.0,Lambourne End Ltd,Activity Afternoon Tuesday 26th May 2026,2026-05-26,2.0,2,50.0
10736.0,Lambourne End Ltd,Adventure Academy Wednesday 27th May 2026,2026-05-27,4.0,3,200.0
10736.0,Lambourne End Ltd,Adventure Academy Thursday 28th May 2026,2026-05-28,3.0,2,150.0
10736.0,Lambourne End Ltd,Adventure Academy Friday 29th May 2026,2026-05-29,3.0,3,150.0
15299.0,Lane End Farm,Open Farm Sunday @ Lane End Farm,2026-06-07,221.0,64,0.0
7273.0,Langmere Lamb,Lambing at the Grange,2026-04-19,258.0,75,1290.0
7273.0,Langmere Lamb,Open Farm Sunday at The Grange,2026-06-07,4.0,1,0.0
14655.0,Leanne’s Lambs,DIY Bottle Feeding,2026-04-19,451.0,219,6765.0
5821.0,Loddington Farm,Easter Trail at Loddington farm,2026-04-06,312.0,130,1404.0
5821.0,Loddington Farm,Open Farm Sunday 7th June 11:00 - 6:00pm,2026-06-07,761.0,217,2125.0
15325.0,Lopemede Farm,OPEN FARM SUNDAY TRACTOR & TRAILER RIDE,2026-07-12,31.0,9,155.0
15445.0,Lower Treginnis Farm,Open Farm Sunday at Lower Treginnis,2026-06-14,78.0,24,0.0
8419.0,Lower Wangfield Farm,Open Day 2026,2026-06-07,613.0,163,0.0
5833.0,Matterley Estate,Open Farm Sunday 2026   Free Admission,2026-06-07,219.0,57,22.0
3475.0,Meads Farm,Open Farm Sunday at Meads Farm,2026-06-07,814.0,214,0.0
15172.0,Ml&amp;Ri Loder,Open Farm Sunday,2026-06-07,507.0,135,0.0
5881.0,New Hall Farm Ltd,Open Farm Sunday at New Hall Farm,2026-06-07,378.0,108,0.0
3720.0,Newhouse Farm,Newhouse Farm Open Farm Sunday 2026,2026-06-07,1709.0,448,0.0
20526.0,Norton Court Farm,Open Farm Sunday,2026-06-07,130.0,30,115.0
11502.0,Nunton Farm Dairy,Open Farm Sunday - Nunton Farm Dairy and Longford Farms,2026-06-07,823.0,258,3397.5
15677.0,OW Wortley &amp; Sons Ltd,OW WORTLEY & SONS LTD - OPEN FARM SUNDAY 2026,2026-06-07,260.0,62,0.0
20401.0,Oak House Farm Ltd,Open Farm Sunday - Oak House Farm,2026-06-07,627.0,161,0.0
20450.0,Oak Vale Farms Ltd OFS,LEAF Open Farm Sunday @ Oak Vale Farms Ltd,2026-06-07,783.0,204,0.0
3675.0,Oaktrack Smallholding,Easter Egg Hunt on the farm,2026-03-29,19.0,13,48.0
3675.0,Oaktrack Smallholding,Open Farm Sunday,2026-06-07,81.0,30,330.0
20713.0,Oakwood Farm,Open Farm Sunday,2026-06-07,308.0,90,0.0
1517.0,Old Farm,Old Farm - Open Farm Sunday,2026-06-07,91.0,27,0.0
1517.0,Old Farm,Old Farm - Open Farm Sunday FREE ENTRY,2026-06-07,47.0,15,0.0
5733.0,Overton Farm Shop,Overton Farm Open Farm Sunday,2026-06-07,615.0,150,0.0
15013.0,PP Broad,Mote Farm Tractor Run - Phil Broad Memorial Run,2026-05-03,22.0,10,0.0
5819.0,Parbold Young Farmers,Parbold dinner dance 2026,2026-02-07,142.0,82,6674.0
5819.0,Parbold Young Farmers,PARBOLD YFC FOAM PARTY 2026!!!,2026-07-11,78.0,64,1560.0
5742.0,Peacock Farm,Open Farm Sunday 2026,2026-06-07,1317.0,336,0.0
20245.0,Preston Hall,Open Farm Sunday 2026,2026-06-07,28.0,8,0.0
15505.0,R N &amp; M Lawton,Open Farm Sunday @ North Farm,2026-06-07,26.0,13,0.0
10048.0,Rainford Young Farmers,Past and Present YFC Do,2026-03-07,159.0,100,4293.0
20318.0,Raynebow Farm,Raynebow Farm-LEAF open farm,2026-06-07,262.0,73,0.0
20318.0,Raynebow Farm,August Soap Making Course,2026-08-08,1.0,1,75.0
20489.0,Rebecca Banks,Wildon Grange Open Farm Sunday,2026-06-07,303.0,95,0.0
14915.0,Rix Farms,Rix Farms - Open Farm Tours,2026-06-05,52.0,28,0.0
3546.0,Road Farm Countryways CIC,Community Drop in and Grow sessions,2026-04-08,6.0,2,10.0
3628.0,Rock House Farm,Open Farm Sunday At Rock House Farm,2026-06-07,162.0,48,0.0
14790.0,Sir Richard Sutton Ltd,Open Farm Sunday - Benham Estate,2026-06-07,1283.0,371,0.0
20186.0,Sophie Wallwin,Common Farm Open Farm Sunday,2026-06-07,40.0,20,0.0
20192.0,Sourdown Farm,Sourdown Farm Beer Festival,2026-06-27,82.0,31,820.0
8204.0,Stack Field Farm,Open Farm Sunday,2026-06-07,99.0,29,0.0
20388.0,Stelling Lodge Farm,Open Farm Sunday,2026-06-07,400.0,106,0.0
20475.0,The Wessex Flock,Open Farm Sunday,2026-06-07,691.0,181,0.0
8120.0,Thornington Farm,Open Farm Sunday,2026-06-07,188.0,45,0.0
11402.0,Trembothick farm,Open farm Sunday,2026-06-21,12.0,4,0.0
19851.0,Ulverston Resilience Group CIC,Ulverston Resilience Event,2026-05-13,33.0,33,0.0
11660.0,Westhills Farm,LEAF Open Farm Sunday 7th June 2026,2026-06-07,59.0,22,0.0
11762.0,Wicton Farm,Wicton Farm - Open Farm Sunday 2026,2026-06-07,313.0,95,0.0
3736.0,Wilderness Foundation UK,Wild Talk - Essex After Dark: Danbury Barbastelle Project,2026-01-30,9.0,7,45.0
3736.0,Wilderness Foundation UK,Wild Walk - Winter Wellness Wander,2026-01-31,4.0,4,50.0
3736.0,Wilderness Foundation UK,Winter Tree Identification Course,2026-02-07,9.0,6,90.0
3736.0,Wilderness Foundation UK,February Wilderness Rangers Camps 5 -11 Years,2026-02-20,72.0,43,3168.0
3736.0,Wilderness Foundation UK,Bird Ringing Demo,2026-02-28,16.0,10,160.0
3736.0,Wilderness Foundation UK,Youth Voice,2026-03-07,6.0,6,75.0
3736.0,Wilderness Foundation UK,Easter 2026 Wilderness Rangers Camps 5 -11 Years,2026-04-10,142.0,76,6248.0
3736.0,Wilderness Foundation UK,Wild Walk - Stories of Essex with James Lawrence,2026-04-17,30.0,18,450.0
3736.0,Wilderness Foundation UK,Plant Identification Course,2026-04-26,4.0,3,40.0
3736.0,Wilderness Foundation UK,An Evening with the Nightingale,2026-04-30,11.0,6,110.0
