Account_Name,Current_Tier_v1,Previous_Tier_v1,Account_Display_Name,Current_Tier_v2,Previous_Tier_v2,Composite_Score,Revenue_Current,Revenue_Lifetime,Tickets_Current,Years_Loyalty,Current_Tier_v1_mapped,Tier_Changed,AccountId,tier_v3
1323,Key Account,Key Account,Greenlands Farm Village,Tier 1,Tier 1,0.74,15180.95,58526.61,43226,7,Tier 1,FALSE,1323,Tier 1
2803,Key Account,Key Account,Squire Performing Arts Centre,Tier 1,Tier 1,1.2,11203.53,27768.61,15069,6,Tier 1,FALSE,2803,Tier 1
2571,Key Account,Key Account,Gigrin Farm Red Kite Feeding,Tier 1,Tier 1,0.79,8031.99,40154.77,13111,7,Tier 1,FALSE,2571,Tier 1
10315,Key Account,Key Account,Sheffield City Council,Tier 2,Tier 2,4.4,7451.97,15206.6,14784,3,Tier 1,TRUE,10315,Tier 1
245,Key Account,Key Account,Wellington School Box Office,Tier 1,Tier 1,0.24,6461.35,27229.8,4837,10,Tier 1,FALSE,245,Tier 1
1181,Key Account,Key Account,Battle Abbey School,Tier 1,Tier 1,0.58,6250.28,29322.73,7050,8,Tier 1,FALSE,1181,Tier 1
7659,Key Account,High Value,Dulwich College - Cost Neutral Account,Tier 1,Tier 2,3.58,5334.72,7389.3,4369,4,Tier 1,FALSE,7659,Tier 1
4349,Key Account,Key Account,Richmond Shakespeare Society,Tier 1,Tier 1,1.4,5116.72,17171.68,5873,6,Tier 1,FALSE,4349,Tier 1
12025,Key Account,Key Account,GCRN,Tier 2,Tier 2,4.68,4683.52,9657.13,5912,3,Tier 1,TRUE,12025,Tier 1
17833,Key Account,NIL,Clear Presentations Ltd,Tier 2,Nil,7.92,4426.13,4426.13,54,2,Tier 1,TRUE,17833,Tier 2
4301,Key Account,Key Account,ASFC Trips,Tier 1,Tier 1,1.49,4364.35,15568.36,2709,6,Tier 1,FALSE,4301,Tier 1
1781,Key Account,Key Account,Bramhall Firework Festival at Stockport Rugby Club,Tier 1,Tier 1,1.02,4316.07,18280.97,7437,7,Tier 1,FALSE,1781,Tier 1
3425,Key Account,High Value,Windermere School,Tier 1,Tier 1,1.55,3802.93,14856.23,2246,6,Tier 1,FALSE,3425,Tier 1
5824,Key Account,Key Account,Scarisbrick Hall School - Stripe,Tier 1,Tier 1,2.28,3739.38,12789.38,14120,5,Tier 1,FALSE,5824,Tier 1
594,Key Account,Key Account,Lane Theatre  Newquay,Tier 1,Tier 1,0.56,3700.7,18365.88,5534,9,Tier 1,FALSE,594,Tier 1
10237,Key Account,High Value,Salsa 4 Fun,Tier 2,Tier 3,5.69,3658.23,5299.9,3036,3,Tier 1,TRUE,10237,Tier 2
5413,Key Account,Key Account,Outside in Kendal,Tier 1,Tier 1,2.19,3642.53,17390.26,19832,5,Tier 1,FALSE,5413,Tier 1
11516,Key Account,High Value,Mount Kelly Swimming,Tier 2,Tier 2,5.3,3626.08,6449.17,223,3,Tier 1,TRUE,11516,Tier 2
4232,Key Account,High Value,GSEL Account,Tier 1,Tier 1,1.88,3625.46,9329.83,618,6,Tier 1,FALSE,4232,Tier 1
11096,Key Account,Key Account,Southwick Revival,Tier 2,Tier 2,4.93,3545.67,9258.42,4703,3,Tier 1,TRUE,11096,Tier 1
3344,Key Account,Tier 3,Golden Goose Theatre LTD,Tier 1,Tier 4,1.74,3450.98,12802.26,4758,6,Tier 1,FALSE,3344,Tier 1
11915,Key Account,Key Account,11 Plus Test Kingston,Tier 2,Tier 2,5.2,3296.91,7378.7,1043,3,Tier 1,TRUE,11915,Tier 2
3300,Key Account,Key Account,Roy Castle Lung Cancer Foundation,Tier 1,Tier 1,2.26,3270.35,17555.68,7566,5,Tier 1,FALSE,3300,Tier 1
327,Key Account,Key Account,Sulevents,Tier 1,Tier 1,0.62,3204.92,17503.75,3368,10,Tier 1,FALSE,327,Tier 1
13638,Key Account,Tier 4,Circus Extravaganza,Tier 2,Tier 3,6.47,3018.59,3906.33,7373,3,Tier 1,TRUE,13638,Tier 2
5369,Key Account,Key Account,Gateways School,Tier 1,Tier 2,2.62,3016.45,9590.81,3552,5,Tier 1,FALSE,5369,Tier 1
4510,Key Account,Key Account,Windsor Learning Partnership Music Department,Tier 1,Tier 1,1.93,3015.27,10548.83,5113,6,Tier 1,FALSE,4510,Tier 1
2991,Key Account,High Value,She Inspires Group,Tier 1,Tier 2,1.75,3008.05,8382.99,788,7,Tier 1,FALSE,2991,Tier 1
13550,Key Account,Tier 4,Dollar Academy Camps,Tier 2,Tier 4,8.97,2958.92,3407.3,630,2,Tier 1,TRUE,13550,Tier 2
3313,Key Account,Tier 4,Giant Wheel Company,Tier 1,Tier 2,1.88,2919.4,13132.25,6400,6,Tier 1,FALSE,3313,Tier 1
334,Key Account,Key Account,ESMS,Tier 1,Tier 1,0.7,2913.08,19020.11,5422,10,Tier 1,FALSE,334,Tier 1
11203,Key Account,Key Account,Winchester College Heritage,Tier 2,Tier 2,5.42,2885.88,7149.46,3942,3,Tier 1,TRUE,11203,Tier 1
2043,Key Account,NIL,St Paul's School Spring Fling 2020,Tier 1,Nil,1.63,2862.92,10612.83,233,7,Tier 1,FALSE,2043,Tier 1
