AccountId,Account_Display_Name,Current_Tier_v1,Current_Tier_v2,tier_v3,Composite_Score,Revenue_Current,Revenue_Lifetime,Tickets_Current,Years_Loyalty
1,Trybooking Box Office Terminal Hire,NIL,Nil,Nil,,0.37,1.46,0,6
10,St Aloysius College  Sydney.,NIL,Nil,Nil,,0.0,72.0,0,1
100,Account Deleted,NIL,Nil,Nil,,0.0,1.5,0,2
10001,Cartmel Priory School,Tier 3,Tier 4,Tier 4,45.72,81.46,346.92,272,4
10003,Kings Norton Girls' School & Sixth Form,Tier 3,Free,Free,,0.0,0.0,293,2
10004,Merchant Taylors' School Ladies Association,Tier 3,Tier 4,Tier 4,47.54,75.0,390.12,225,3
10006,Sheffield Council – Children and Family Services,Tier 3,Free,Free,,0.0,0.0,404,4
10008,Hinckley conservatives,NIL,Nil,Nil,,0.0,0.0,0,2
10012,Polbeth Community Hub,Tier 3,Tier 4,Tier 4,43.3,126.94,184.42,405,4
10013,Westbourne School,Tier 3,Tier 4,Tier 4,29.68,219.01,522.22,282,4
10014,FI Glasgow,NIL,Nil,Nil,,0.0,0.0,0,1
10015,The Table by Tania,Tier 3,Tier 4,Tier 4,35.5,113.96,836.85,64,4
10019,Ashcroft 94,NIL,Nil,Nil,,0.0,41.25,0,1
1002,Deekabout Ceramics,NIL,Nil,Nil,,0.0,4.67,0,1
10025,Friends of Cedars Manor School,Tier 2,Tier 5,Tier 5,82.1,19.0,34.33,57,2
10026,Cradley CE Primary School,NIL,Nil,Nil,,0.0,0.0,0,1
10037,Directors Hour,NIL,Nil,Nil,,0.0,30.0,0,2
10038,Bratton History Association,Tier 2,Tier 5,Tier 5,84.88,3.12,50.83,13,3
10039,Ian Mullens,Tier 3,Free,Free,,0.0,0.0,146,4
10040,FOPPS,NIL,Nil,Nil,,0.0,0.0,0,1
10042,Pilgrim Pastor,NIL,Nil,Nil,,0.0,0.0,0,2
10043,Barnard Castle School,High Value,Tier 2,Tier 2,8.38,1311.79,3903.12,2066,3
10046,Institute for Policy and Engagement,Tier 2,Free,Free,,0.0,0.0,64,3
10048,Rainford Young Farmers,Tier 3,Tier 4,Tier 4,33.09,198.75,448.92,159,3
10053,Morpeth School,Tier 2,Tier 5,Tier 5,92.69,3.46,3.46,91,3
10055,Energy Futures Lab & Fuellers,Tier 3,Free,Free,,0.0,0.0,311,3
10057,ADOR@BLE,NIL,Nil,Nil,,0.0,1768.87,0,1
10059,Norreys Church,NIL,Nil,Nil,,0.0,0.0,0,2
10067,Waste into Wellbeing,Tier 4,Tier 3,Tier 3,22.12,420.62,561.4,506,4
10071,Life Project (Bath),Tier 2,Tier 5,Tier 5,59.53,45.17,149.12,72,4
10072,Greenlands' Arenas,NIL,Nil,Nil,,0.0,1649.29,0,2
10078,Naturally Wellbeing,Tier 1,Tier 5,Tier 5,76.05,20.0,50.38,10,4
1008,Free Rangers Forest School Holiday Club,NIL,Nil,Nil,,0.0,307.83,0,2
